player_name,play_time,scores
prince,2021-08-22 11:35:09,5
prince,2021-08-22 11:35:11,5
rishikesh,2021-08-22 11:43:05,174
rishikesh,2021-08-22 11:43:17,174
Prince Kumar,2021-08-22 19:53:06,5
Rishikesh Kumar,2021-08-23 10:52:44,2
Prince,2021-08-23 16:56:50,5
Prince,2021-08-23 16:56:51,0
Prince,2021-08-23 16:56:54,1
Prince Kumar,2021-08-23 17:12:41,2
Prince Kumar,2021-08-23 17:12:45,1
Rishikesh Kumar,2021-08-23 17:41:54,3
Rishikesh Kumar,2021-08-23 17:42:04,1
Rishikesh Kumar,2021-08-24 11:16:55,3
Prince Kumar,2021-08-24 11:23:48,16
Rishikesh Kumar,2021-08-25 18:21:07,3